2026-07-30 17:45:47 | INFO | Using device: mps
2026-07-30 17:48:41 | ERROR | Failed row 80 (Malabar_Dataset/Anthracnose(102)/Anthracnose (8).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:42 | ERROR | Failed row 81 (Malabar_Dataset/Anthracnose(102)/Anthracnose (80).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:42 | ERROR | Failed row 82 (Malabar_Dataset/Anthracnose(102)/Anthracnose (81).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:42 | ERROR | Failed row 83 (Malabar_Dataset/Anthracnose(102)/Anthracnose (82).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:42 | ERROR | Failed row 84 (Malabar_Dataset/Anthracnose(102)/Anthracnose (83).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:42 | ERROR | Failed row 85 (Malabar_Dataset/Anthracnose(102)/Anthracnose (84).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:43 | ERROR | Failed row 86 (Malabar_Dataset/Anthracnose(102)/Anthracnose (85).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:43 | ERROR | Failed row 87 (Malabar_Dataset/Anthracnose(102)/Anthracnose (86).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:43 | ERROR | Failed row 88 (Malabar_Dataset/Anthracnose(102)/Anthracnose (87).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:43 | ERROR | Failed row 89 (Malabar_Dataset/Anthracnose(102)/Anthracnose (88).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:44 | ERROR | Failed row 90 (Malabar_Dataset/Anthracnose(102)/Anthracnose (89).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:44 | ERROR | Failed row 91 (Malabar_Dataset/Anthracnose(102)/Anthracnose (9).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:44 | ERROR | Failed row 92 (Malabar_Dataset/Anthracnose(102)/Anthracnose (90).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:44 | ERROR | Failed row 93 (Malabar_Dataset/Anthracnose(102)/Anthracnose (91).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:44 | ERROR | Failed row 94 (Malabar_Dataset/Anthracnose(102)/Anthracnose (92).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:45 | ERROR | Failed row 95 (Malabar_Dataset/Anthracnose(102)/Anthracnose (93).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:45 | ERROR | Failed row 96 (Malabar_Dataset/Anthracnose(102)/Anthracnose (94).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:45 | ERROR | Failed row 97 (Malabar_Dataset/Anthracnose(102)/Anthracnose (95).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:45 | ERROR | Failed row 98 (Malabar_Dataset/Anthracnose(102)/Anthracnose (96).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 99 (Malabar_Dataset/Anthracnose(102)/Anthracnose (97).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 100 (Malabar_Dataset/Anthracnose(102)/Anthracnose (98).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 101 (Malabar_Dataset/Anthracnose(102)/Anthracnose (99).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 102 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (1).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 103 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (10).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 104 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (100).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 105 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (101).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 106 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (102).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 107 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (103).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 108 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (104).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:46 | ERROR | Failed row 109 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (105).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 110 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (106).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 111 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (107).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 112 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (108).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 113 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (109).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 114 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (11).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 115 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (110).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 116 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (111).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 117 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (112).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 118 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (113).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 119 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (114).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 120 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (115).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 121 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (116).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 122 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (117).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 123 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (118).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 124 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (119).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 125 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (12).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 126 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (120).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 127 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (121).jpg): Classical feature dim mismatch: got 91, expected 1067
